Graphie du mot Dieu
Lemme : dieu	195
Deu	112
Dex	79
Diu	2
Dé	1
Deus	1

Graphie du mot lieu
Lemme : lieu	142
leu	95
leus	26
liu	13
lius	4
lieu	3
lieus	1

§10 Réduction de e ouvert libre en i
enacorinthe	1
anacorinte	1
anacorintes	3

Lemme :anoncier	23
annonçoient	1
anoncierent	1
annonce	2
annoncier	4
annonçoient	1
annonçons	1
anonce	1
anoncie	1
anoncier	8
anoncierent	1
anonciez	1
anonça	2
anonçoit	1

Lemme :anuitier	1
anoientira	1
anoientira	1

Lemme :aorer2	32
aeuroient	1
aorassent	3
aorent	1
aorerent	1
aoroient	7

Lemme :aovrir	1
aovrirent	1

Lemme :apareillier1	31
apareillierent	2
apareilloient	1
aparellierent	1
aparelloient	1

Lemme :aparoir	36
aparoient	1
aparurent	3
aparanz	1

Lemme :apeler	108
apelent	2
apeloient	1
apieloient	1

Lemme :apercevoir	12
aperceüssent	1
aperçurent	1

Lemme :apert1	4
apertement	3

Lemme :aporter	74
aportassent	1
aporterent	5
aporteroient	1
aportoient	2
aportant	1

Lemme :aprochier	21
aprochierent	2
aproçoient	1

Lemme :aproismier	19
aproismierent	3

Lemme :ardre	35
ardoient	1
arsissent	3
arstrent	1
ardant	3
ardanz	10

Lemme :arester	48
arrestent	3
arresterent	3
arrestoien	1
arrestoient	4

Lemme :ariver1	8
arriverent	4

Lemme :armer	8
armerent	1

Lemme :arrachier	3
errachoient	1

Lemme :assalir	1
assailloient	1

Lemme :assembler	94
asamblerent	1
assamblerent	3
assemblassent	2
assemblerent	14
assembleroient	1
assembloient	2

Lemme :asseoir	25
asistrent	1
assistrent	2

Lemme :assidüel	10
assiduelment	7

Lemme :ataindre	2
ataignoient	1

Lemme :atargier	12
atargierent	1

Lemme :atochier	14
atouçoient	1

Lemme :atorner	36
atornerent	3

Lemme :atraire	6
atreoient	1

Lemme :avoir	1960
aeurent	1
aient	3
auroient	3
avoient	191
eurent	1
eüssent	12
orent	58

Lemme :baillier	13
baillierent	2

Lemme :baisier	15
beisierent	1

Lemme :batisier	40
baptirent	1
baptizassent	1
baptizierent	5

Lemme :batre	21
batirent	3
batoient	1

Lemme :blandir	1
blandissoient	1
blandissoient	1

Lemme :blasmer	19
blasmeroient	1

Lemme :boivre	23
boivent	1

Lemme :bon	154
boen	2

Lemme :boter1	8
bouterent	1

Lemme :brisier	16
brisierent	2

Lemme :caroler	1
karoleroient	1

Lemme :ceindre	2
ceinstrent	1

Lemme :celer1	15
celebroient	1

Lemme :cerchier	4
cerchassent	1
cercherent	1

Lemme :chacier	23
chacierent	1
