;C1;C2;C3;D;E2;F2;G1;M1;N1
655;1;1;1;1;1;0;1;1;1
656;1;1;1;1;1;1;2;1;1
657;1;1;1;1;1;1;2;1;1
658;1;1;1;2;1;1;NA;1;1
659;1;1;1;1;1;2;NA;1;1
660;1;1;1;1;1;1;0;1;1
661;1;2;1;2;2;2;1;1;1
662;1;1;1;1;1;1;2;1;1
663;1;1;1;1;1;0;1;1;1
664;1;1;1;1;1;1;1;1;0
665;1;1;1;1;1;1;1;1;2
666;1;1;1;1;1;1;2;2;2
667;1;1;1;1;1;0;NA;NA;NA
668;1;2;2;2;2;1;NA;NA;NA
669;1;1;1;1;1;1;2;3;3
670;1;1;1;1;1;1;0;1;1
671;1;1;1;1;1;1;2;3;4
672;1;1;1;1;2;1;1;1;1
673;1;1;2;1;1;1;1;1;0
674;1;1;1;1;1;1;0;1;1
675;1;1;1;1;1;2;1;1;1
676;1;1;1;1;1;1;2;2;2
677;1;1;1;0;1;1;0;0;0
678;1;1;1;0;1;0;0;0;0
679;1;1;1;1;1;0;1;1;1
