;C1;D;E2;F2;G1;M1;N1
524;1;1;1;2;1;1;1
525;1;1;1;1;2;3;3
526;1;1;1;1;0;1;1
527;1;1;1;1;1;2;1
528;1;1;1;2;1;1;1
529;1;1;1;0;1;1;1
530;1;1;1;0;1;1;1
531;1;1;1;NA;2;2;2
532;1;1;1;1;1;2;1
533;1;1;2;2;2;3;3
534;1;1;1;0;1;1;1
535;1;1;1;2;2;1;1
536;1;1;1;0;3;4;1
537;1;1;1;2;1;1;1
538;1;1;1;NA;2;1;1
539;1;0;0;NA;1;1;1
540;1;1;1;1;2;1;1
541;1;2;2;2;2;3;2
542;1;1;1;1;1;2;2
543;1;1;1;2;3;2;4
544;1;2;2;2;2;2;2
545;1;1;1;0;1;1;1
546;1;1;1;0;1;0;0
547;1;1;0;1;0;0;0
548;1;1;1;1;0;1;1
549;1;1;1;0;NA;1;1
550;1;1;1;1;2;3;1
551;1;1;1;2;1;1;3
552;1;1;1;2;1;1;1
553;1;1;1;1;1;0;0
554;1;1;2;1;1;1;1
555;1;1;NA;1;1;2;2
556;1;2;2;1;2;3;3
557;1;1;1;1;2;1;1
558;1;1;1;1;2;3;2
559;1;1;1;2;1;1;1
560;1;1;2;1;1;1;1
561;1;1;1;1;0;1;1
562;1;1;0;1;1;1;1
563;1;1;1;0;1;1;1
564;1;1;1;1;2;3;1
565;1;1;1;2;1;1;1
566;1;1;1;NA;1;2;2
567;1;1;1;NA;1;1;2
568;1;1;1;NA;1;1;0
569;1;1;1;2;1;1;1
570;1;1;1;1;1;0;1
571;1;1;2;1;1;3;1
572;1;1;1;1;1;1;0
573;1;1;1;0;1;1;1
574;1;1;1;2;1;1;1
575;1;2;2;2;2;2;2
576;1;1;1;2;1;1;1
577;1;1;1;2;1;1;2
578;1;1;1;0;1;1;3
579;1;1;1;0;0;3;3
580;1;1;2;1;1;1;1
581;1;1;1;2;1;1;1
582;1;1;1;1;2;3;1
583;1;1;1;2;3;4;5
584;1;1;1;2;1;1;1
585;1;1;1;1;1;1;0
586;1;1;1;0;1;1;1
587;1;1;1;1;1;2;2
588;1;1;1;0;1;1;1
589;1;1;1;NA;1;2;1
590;1;1;1;0;1;1;1
591;1;1;2;NA;1;1;1
592;1;1;NA;NA;2;1;1
593;1;1;1;NA;2;3;3
594;1;1;1;1;1;2;1
595;1;2;1;1;1;1;1
596;1;1;1;2;1;1;1
597;1;1;1;0;1;1;1
598;1;1;1;NA;1;1;2
599;1;1;1;1;1;1;2
600;1;1;1;1;3;2;2
601;1;1;1;0;1;1;1
602;1;1;1;1;0;1;1
603;1;1;1;1;1;1;0
604;1;1;1;2;3;1;1
605;1;1;1;1;0;1;0
606;1;1;1;1;2;3;3
607;1;1;1;2;3;1;1
608;1;1;1;1;2;2;2
609;1;1;1;2;1;1;1
610;1;1;0;NA;1;1;1
611;1;1;1;0;1;1;1
612;1;1;1;NA;2;2;2
613;1;1;1;NA;2;1;1
614;1;1;1;NA;1;2;2
615;1;1;1;NA;0;0;0
616;1;1;1;2;1;1;1
617;1;1;1;2;3;3;3
618;1;1;1;0;1;1;1
619;1;1;1;0;1;1;0
620;1;1;1;2;1;1;1
621;1;2;1;NA;3;1;1
622;1;1;1;0;1;1;1
623;1;1;1;NA;0;1;1
624;1;2;1;NA;1;1;1
625;1;1;1;NA;2;1;1
626;1;1;1;2;1;1;1
627;1;1;1;0;1;1;1
628;1;1;1;NA;1;2;2
629;1;1;1;NA;0;1;0
630;1;1;2;NA;1;1;1
631;1;1;1;NA;0;0;0
632;1;1;1;NA;2;2;2
633;1;1;1;0;1;1;1
634;1;1;0;NA;1;1;1
635;1;1;1;0;1;1;1
636;1;1;1;NA;2;2;2
637;1;1;1;1;1;2;2
638;1;1;1;0;0;1;1
639;1;1;1;1;2;1;1
640;1;1;1;1;0;0;0
641;1;1;1;1;1;2;2
642;1;1;1;1;2;3;3
643;1;1;1;2;1;1;1
644;1;1;1;0;1;1;1
645;1;1;1;1;2;1;1
646;1;1;1;1;2;1;1
647;1;2;1;1;NA;1;1
648;1;1;1;2;NA;1;1
649;1;1;1;1;0;1;1
650;1;2;2;2;1;1;1
651;1;1;1;1;2;1;1
652;1;1;1;0;1;1;1
653;1;1;1;1;1;1;0
654;1;1;1;1;1;1;2
655;1;1;1;1;2;2;2
656;1;1;1;0;NA;NA;NA
657;1;2;2;1;NA;NA;NA
658;1;1;1;1;2;3;3
659;1;1;1;1;0;1;1
660;1;1;1;1;2;3;4
661;1;1;2;1;1;1;1
662;1;1;1;1;0;1;1
663;1;1;1;2;1;1;1
664;1;1;1;1;2;2;2
665;1;0;1;1;0;0;0
666;1;0;1;0;0;0;0
667;1;1;1;0;1;1;1
668;1;1;1;NA;1;2;2
669;1;1;1;1;0;1;1
670;1;1;1;0;1;1;1
671;1;1;1;NA;2;1;1
672;1;1;1;1;2;1;1
673;1;1;1;1;1;2;2
674;1;1;1;0;1;1;1
675;1;1;1;0;0;1;1
676;1;1;1;0;1;1;1
677;1;1;1;NA;1;1;2
678;1;1;1;0;1;1;1
679;1;1;1;2;2;2;2
680;1;1;1;0;1;1;1
681;1;1;1;1;0;1;1
682;1;1;1;0;3;1;1
683;1;0;0;0;0;1;1
684;1;1;0;1;1;1;1
685;1;1;NA;2;2;2;2
686;1;1;1;0;1;1;1
687;1;1;1;NA;0;0;0
688;1;0;1;NA;NA;NA;NA
689;1;2;2;1;1;1;1
690;1;1;2;1;1;1;1
691;1;1;1;1;2;1;1
692;1;1;1;1;NA;1;0
693;1;1;1;0;0;1;1
694;1;1;1;0;1;1;1
695;1;1;1;NA;1;0;0
696;1;1;1;2;1;1;1
697;1;1;1;NA;2;1;1
698;1;2;2;NA;2;2;2
699;1;1;1;0;1;1;1
700;1;0;0;NA;0;0;0
701;1;1;1;NA;1;1;0
702;1;0;0;0;1;1;0
703;1;1;1;1;2;1;3
704;1;1;1;0;0;1;1
705;1;1;0;NA;NA;1;1
706;1;1;1;NA;NA;1;2
707;1;1;1;1;2;2;3
708;1;1;1;1;2;2;2
709;1;1;1;1;2;1;1
710;1;0;0;0;0;0;0
711;1;1;1;1;1;2;2
712;1;1;1;1;0;0;0
713;1;1;1;1;1;1;2
714;1;2;2;2;1;1;NA
715;1;1;1;1;0;0;1
716;1;0;1;0;1;0;0
717;1;1;1;1;1;0;0
718;1;1;1;2;1;3;3
719;1;1;1;NA;2;NA;NA
720;1;1;1;1;2;3;1
721;1;1;1;1;1;1;2
722;1;2;0;1;4;4;1
723;1;1;1;1;0;0;1
724;1;1;1;1;1;2;2
725;1;1;1;1;2;2;2
726;1;1;1;0;1;1;0
727;1;1;1;0;1;1;1
728;1;1;1;1;2;1;2
729;1;1;1;1;2;3;1
730;1;1;1;1;2;3;1
731;1;1;1;1;0;1;1
732;1;1;1;0;NA;0;0
733;1;1;1;0;1;1;1
734;1;0;0;NA;1;3;0
735;1;1;1;1;2;1;1
736;1;1;0;1;1;1;1
737;1;1;1;1;2;1;1
738;1;1;1;1;1;1;2
739;1;1;1;1;2;1;1
740;1;1;1;0;NA;0;0
741;1;1;1;0;NA;1;1
742;1;1;1;1;2;1;1
743;1;2;2;1;2;3;3
744;1;1;1;1;2;1;1
745;1;1;1;1;2;1;1
746;1;1;1;1;0;1;1
747;2;1;2;1;2;1;2
748;1;1;1;1;0;1;1
749;1;1;1;1;2;2;2
750;1;1;1;1;2;3;4
751;1;1;1;0;NA;NA;NA
752;1;1;1;0;1;1;1
753;1;1;1;0;1;0;0
754;1;1;1;NA;2;NA;NA
755;1;1;1;2;1;1;1
756;1;1;1;2;1;1;1
757;1;1;1;1;2;3;4
758;1;1;1;1;0;1;1
759;1;1;1;1;1;2;2
760;1;2;2;0;1;2;2
761;1;0;1;0;1;1;1
762;1;1;1;1;1;1;2
763;1;1;1;1;1;2;1
764;1;1;1;1;1;2;3
765;1;1;1;1;1;1;2
766;1;1;1;1;2;1;1
767;1;1;1;1;0;1;1
768;1;1;1;0;0;1;1
769;1;1;1;1;0;1;1
770;1;1;1;2;3;1;1
771;1;1;1;0;1;1;1
772;1;1;1;1;1;1;2
773;1;0;1;1;0;0;0
774;1;1;1;0;0;0;0
775;1;1;1;2;0;1;1
776;1;1;1;0;1;1;1
777;1;1;1;NA;2;1;1
778;1;1;1;0;1;1;1
779;1;1;1;NA;2;2;3
780;1;1;1;1;2;1;1
781;1;1;1;1;2;1;1
782;1;1;2;3;4;1;3
783;1;1;1;1;2;1;1
784;1;1;1;1;0;1;1
785;1;1;1;0;1;1;1
