;C1;C2;C3;D;E2;F2
896;1;1;1;1;1;0
897;1;1;1;1;1;0
898;1;1;1;1;1;0
899;1;1;1;2;2;1
900;1;1;1;0;1;1
901;1;1;1;NA;2;1
902;1;1;1;1;1;2
903;1;1;1;1;1;0
904;1;1;1;1;2;NA
905;1;1;1;1;1;2
906;1;1;1;1;2;1
907;1;1;1;1;1;0
908;1;1;1;0;1;1
909;1;1;1;NA;2;1
910;1;1;1;NA;1;0
911;1;1;1;2;1;1
912;1;1;1;NA;1;2
913;1;1;1;2;1;NA
914;1;1;1;1;1;0
915;1;1;1;1;1;0
916;1;0;0;0;1;0
917;1;1;1;1;1;0
918;1;1;1;1;1;0
919;1;1;1;2;2;NA
920;1;1;1;1;2;NA
921;1;1;1;1;0;NA
922;1;1;1;1;1;2
923;1;1;1;2;1;1
924;1;1;1;1;1;0
925;1;1;1;1;1;0
926;1;1;2;1;1;NA
927;1;1;1;1;2;NA
928;1;1;1;1;2;NA
929;1;1;1;1;1;0
930;1;1;1;2;1;1
931;1;1;1;1;1;0
932;1;1;1;1;1;0
933;1;1;1;1;1;0
934;1;1;1;1;2;1
935;1;1;1;1;1;0
936;1;0;1;0;0;0
937;1;1;1;1;2;1
938;1;1;1;1;1;0
939;1;0;1;0;0;0
940;1;1;1;1;2;1
941;1;1;1;1;2;2
942;1;1;1;1;2;0
943;1;1;1;1;1;0
944;1;1;1;1;1;0
945;1;1;1;1;2;1
946;1;1;1;1;1;2
947;1;1;1;1;1;2
948;1;1;1;1;2;1
949;1;1;1;2;2;1
950;1;1;1;NA;NA;0
951;1;1;1;1;1;2
952;1;1;1;1;1;0
953;1;1;1;1;1;0
954;1;2;2;2;2;2
955;1;1;1;2;1;1
956;1;1;1;1;1;0
957;1;1;1;1;2;1
958;1;2;2;2;2;1
959;1;1;1;0;0;0
960;1;1;1;2;1;1
961;1;1;1;0;0;1
962;1;1;1;2;2;1
963;1;1;1;1;0;1
964;1;1;1;1;1;0
965;1;1;1;1;1;2
966;1;1;1;1;2;NA
967;1;1;1;1;1;2
968;1;1;1;1;1;0
969;1;1;1;1;1;0
970;1;1;1;1;1;0
971;1;1;1;1;1;0
972;1;1;1;1;1;0
973;1;1;1;1;0;1
974;1;1;1;1;1;2
975;1;1;1;1;1;0
976;1;2;1;2;2;3
977;1;1;1;1;1;0
978;1;1;1;1;0;1
979;1;1;1;1;0;1
980;1;1;1;1;1;0
981;1;1;1;2;2;1
982;1;1;1;1;1;0
